metric,group,width_mm,pod
C_M,low,0.6100000000000001,0.8436088701195743
C_M,low,0.6200000000000001,0.8468751959797969
C_M,low,0.63,0.8500854255826289
C_M,low,0.64,0.8532400165147024
C_M,low,0.65,0.8563394447289829
C_M,low,0.66,0.8593842034720475
C_M,low,0.67,0.8623748022299538
C_M,low,0.68,0.8653117656939162
C_M,low,0.6900000000000001,0.8681956327468741
C_M,low,0.7000000000000001,0.8710269554719324
C_M,low,0.7100000000000001,0.8738062981835474
C_M,low,0.7200000000000001,0.8765342364822188
C_M,low,0.7300000000000001,0.879211356333353
C_M,low,0.7400000000000001,0.8818382531708657
C_M,low,0.7500000000000001,0.8844155310259947
C_M,low,0.76,0.8869438016817076
C_M,low,0.77,0.8894236838530084
C_M,low,0.78,0.8918558023933569
C_M,low,0.79,0.8942407875273509
C_M,low,0.8,0.8965792741097417
C_M,low,0.81,0.8988719009107885
C_M,low,0.8200000000000001,0.9011193099278969
C_M,low,0.8300000000000001,0.9033221457234238
C_M,low,0.8400000000000001,0.9054810547884815
C_M,low,0.8500000000000001,0.9075966849325185
C_M,low,0.8600000000000001,0.9096696846984114
C_M,low,0.8700000000000001,0.9117007028027585
C_M,low,0.8800000000000001,0.9136903876010277
C_M,low,0.89,0.915639386577171
C_M,low,0.9,0.9175483458572962
C_M,low,0.91,0.9194179097469459
C_M,low,0.92,0.9212487202915152
C_M,low,0.93,0.9230414168593174
C_M,low,0.9400000000000001,0.9247966357467844
C_M,low,0.9500000000000001,0.9265150098052715
C_M,low,0.9600000000000001,0.9281971680889237
C_M,low,0.9700000000000001,0.9298437355230521
C_M,low,0.9800000000000001,0.9314553325924472
C_M,low,0.9900000000000001,0.9330325750490653
C_M,low,1.0,0.9345760736385055
C_M,low,1.01,0.9360864338446958
C_M,low,1.02,0.9375642556522076
C_M,low,1.03,0.9390101333256129
C_M,low,1.04,0.9404246552053045
C_M,low,1.05,0.9418084035191983
C_M,low,1.06,0.943161954209742
C_M,low,1.07,0.9444858767756645
C_M,low,1.08,0.9457807341278953
C_M,low,1.09,0.9470470824591041
C_M,low,1.1,0.9482854711263088
C_M,low,1.11,0.9494964425460127
C_M,low,1.12,0.9506805321013422
C_M,low,1.1300000000000001,0.951838268060663
C_M,low,1.1400000000000001,0.9529701715071688
C_M,low,1.1500000000000001,0.9540767562789422
C_M,low,1.1600000000000001,0.9551585289190024
C_M,low,1.1700000000000002,0.9562159886348656
C_M,low,1.1800000000000002,0.9572496272671552
